Account ID,AC,Active?,Preparer Duration
1002_ON-2100-117201-0000-11408-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-11701-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-11711-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-11717-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-11723-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-11804-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-11901-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-12006-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-12106-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-12116-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-12208-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-12211-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-12311-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-12501-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-12613-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-12902-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-12905-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-13003-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-13004-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-13203-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-13302-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-13406-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-13602-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-13605-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-14001-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-14115-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-14118-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-14204-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-14306-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-14503-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-14507-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-14602-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-14813-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-15002-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-15201-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-15304-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-15305-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-15402-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-15408-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-15441-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-15611-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-16010-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-16014-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-16016-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-16040-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80003-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80004-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80026-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80047-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80053-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80121-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80122-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80125-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80138-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80151-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80154-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80155-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80160-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80192-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80212-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80217-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80234-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-80344-0000-ALL-ALL,117201,Yes,14
